Interval,Expected_coverage,Empirical_coverage,Calibration_error,Mean_width_µg/m³
90% CI,0.8999999999999999,0.8014440433212996,-0.09855595667870032,0.10568120682015592
80% CI,0.8,0.6823104693140795,-0.11768953068592058,0.07384106986532289
50% CI (IQR),0.5,0.4187725631768953,-0.08122743682310468,0.037975930534354836
