feature,mean_abs_shap,rank
Cu,0.024726873904859153,1
Pb_lag2,0.01108438241634573,2
month_cos,0.009675046297588911,3
Pb_lag1,0.008150404092300946,4
Cd,0.007902352054324532,5
post,0.006310323930007359,6
month_sin,0.004794580505078274,7
doy_cos,0.0033368593222005342,8
doy_sin,0.0032134313601386993,9
As,0.0025490169028234097,10
Cr,0.0018013170095703464,11
Pb_roll3_mean,0.0007528984712510497,12
