feature,mean_abs_shap,rank
post,0.01752440320239581,1
Cu,0.01214738700463311,2
Pb_lag2,0.008647840570917466,3
Pb_roll3_mean,0.006254445961436514,4
month_cos,0.00589973349870434,5
Pb_lag1,0.005625424327713414,6
Cd,0.005038849891219126,7
doy_cos,0.004115262397704564,8
month_sin,0.003580456550415927,9
doy_sin,0.003313380224955703,10
As,0.0011883197398073438,11
Cr,0.0010652055075741225,12
