feature,mean_abs_shap,rank
Pb_lag1,0.018722121829456935,1
Cu,0.0185510508361224,2
Cd,0.006880890257629419,3
Pb_roll3_mean,0.006428463195647656,4
post,0.006062593295413311,5
Pb_lag2,0.0038301595732514824,6
As,0.0025683517171244184,7
month_cos,0.0020481139741277874,8
doy_cos,0.0011923032040180245,9
doy_sin,0.0009586377215077845,10
month_sin,0.0006975397019349091,11
Cr,0.0005945479318629598,12
