feature,mean_abs_shap,rank
Pb_lag1,0.02124219820249951,1
Cu,0.013845050321343732,2
Cd,0.013121294714879274,3
Pb_lag2,0.0065385336172382605,4
As,0.00634298424862824,5
post,0.00513207847842646,6
Pb_roll3_mean,0.003601267339203885,7
doy_sin,0.002662572891018891,8
Cr,0.00197509836067822,9
doy_cos,0.0017727616882414054,10
month_cos,0.0012842858395843307,11
month_sin,0.0007759441190987988,12
