Period,n_total,n_train,n_test,ExtraTrees_R2,ExtraTrees_RMSE,ExtraTrees_MAE,Stacking_R2,Stacking_RMSE,Stacking_MAE
Full 2006-2020,921,644,277,0.7306966431499379,0.059708328420269394,0.03093921640796214,0.7132254358075091,0.061614700775440526,0.032683093490677585
From 2009 onwards,768,537,231,0.6438625422900881,0.04548372215534681,0.024186748440834467,0.6454195518517454,0.04538418732408721,0.02550438741462076
From 2010 onwards (stable period),700,490,210,0.7061605172768425,0.04110935598731021,0.02497834621497905,0.6744182387907254,0.043272863214750705,0.02697663745504612
From 2011 onwards,628,439,189,0.5880445415124411,0.054274458865794725,0.027009386386191887,0.6002874609284548,0.053461883774960105,0.027217262282451086
From 2012 onwards,556,389,167,0.3245150179229904,0.046148841234420965,0.02607879304164559,0.44603611344255567,0.041792050352199996,0.024974544747121862
2010-2018 (inner stable),610,427,183,0.6708238362040408,0.052585043379962,0.029440603926567454,0.6334411522081982,0.05549066124600027,0.031304816026912256
