Металл,n,Среднее,Медиана,Стд_откл,Минимум,Максимум,ПДК_сс,Превышений_ПДК,Доля_н/о_%
Cd,921,0.0017491096634093379,0.001,0.003404962470252856,0.0,0.0387,0.3,0,22.36699239956569
Pb,921,0.07035486065870432,0.032,0.13200418076706352,0.0,1.9991,0.3,40,3.8002171552660156
As,921,0.0031243213897937027,0.0,0.012730001161278879,0.0,0.1796,0.3,0,65.03800217155266
Cr,921,0.013075342020629752,0.003,0.042586957697118226,0.0,0.6031,1.5,0,30.184581976112923
Cu,921,0.14427007600651465,0.072,0.19667091071656823,0.0,1.6601,2.0,0,4.3431053203040175
Ni,921,0.0003829178650018095,1e-09,0.0019522876562800473,0.0,0.02,1.0,0,19.435396308360477
