Experiment,Features,R2,RMSE,MSE,MAE,MBE
Baseline: Extra Trees + 12 features,12,0.7067479586549221,0.06230667152180592,0.0038821213161262203,0.03190366334924181,0.0026776891322870984
Exp 2: Extra Trees + Cu_lag1 (13 features),13,0.7306966431499379,0.059708328420269394,0.0035650844827427495,0.03093921640796214,0.002921197421739883
Exp 1: Stacking + 12 features,12,0.6913533825326513,0.06392118100641299,0.004085917381254612,0.03284862234881017,0.0029913881597889887
Exp 1+2: Stacking + 13 features (BEST),13,0.713225435807509,0.06161470077544053,0.003796371351647072,0.032683093490677585,0.0027470837437291993
