Model,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP
CatBoost,0.9638989169675091,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.9550314465408806,259,6,4,8
Random Forest,0.9638989169675091,0.6,0.5,0.5454545454545454,0.9528301886792453,261,4,6,6
Gradient Boosting,0.9602888086642599,0.5384615384615384,0.5833333333333334,0.56,0.9471698113207547,259,6,5,7
XGBoost,0.9566787003610109,0.5,0.8333333333333334,0.625,0.9411949685534591,255,10,2,10
