Model,Params,Epochs,Train_time_s,Test_R2,Test_RMSE,Test_MSE,Test_MAE,Test_MBE,Pred_std
WindowMean,0,0,0.0,-0.2424403716052297,0.11445783787200703,0.013100596650334646,0.04783383394383394,-0.008786817256817257,0.09362628038450638
Stacked-LSTM,31905,90,17.62646746635437,-0.40021825443229453,0.12150821135282709,0.0147642454261633,0.04347249153449802,-0.0012353294944113331,0.10248493792709393
GRU,16513,34,6.4318687915802,-0.992046024244839,0.14492971708018287,0.02100462289294185,0.051667794428181875,-0.008124221727979131,0.1320046573911748
LSTM,21057,65,11.48054313659668,-1.3217779243496692,0.15646532232579924,0.024481397090516253,0.046569381790289355,-0.004147457794815614,0.14514279886545162
Naive (last),0,0,0.0,-1.390046155230742,0.1587489656538719,0.0252012340961742,0.04574992673992674,-0.008288144078144077,0.15729200940148266
